Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night?,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 18:12:27,3,0,5.5,7.5,7.0,4,1.0,3.0,4.5,2,5.5,5.5,5.5,2,1
10/24/2024 18:12:45,3,0,0.0,4.5,3.5,3,5.0,3.0,0.3,3,1.5,3.5,5.5,2,1
10/24/2024 18:13:32,3,1,3.5,6.5,5.5,3,1.0,3.0,2.5,1,3.5,3.5,5.5,2,0
10/24/2024 18:17:08,4,0,7.0,7.5,1.5,4,3.0,5.0,4.5,1,1.5,3.5,5.5,2,1
10/24/2024 18:17:57,2,0,5.5,8.5,7.0,2,1.0,3.0,0.3,1,5.5,3.5,3.5,1,1
10/24/2024 18:18:17,4,1,7.0,7.5,7.0,4,5.0,5.0,4.5,4,5.5,5.5,5.5,2,0
10/24/2024 18:18:41,3,1,7.0,7.5,5.5,3,5.0,5.0,4.5,3,5.5,5.5,5.5,1,0
10/24/2024 18:19:06,4,0,3.5,7.5,7.0,4,7.0,5.0,2.5,3,3.5,3.5,3.5,1,0
10/24/2024 18:19:23,4,0,5.5,7.5,5.5,2,3.0,5.0,4.5,3,1.5,5.5,3.5,2,0
10/24/2024 18:19:58,1,0,5.5,7.5,5.5,3,1.0,1.0,0.0,4,5.5,3.5,7.0,2,0
10/24/2024 18:20:21,4,1,5.5,7.5,7.0,3,5.0,7.0,4.5,1,1.5,3.5,3.5,1,0
10/24/2024 18:20:41,4,0,7.0,6.5,5.5,3,5.0,5.0,7.0,3,3.5,5.5,3.5,0,1
10/24/2024 18:21:05,4,0,7.0,6.5,5.5,4,5.0,7.0,4.5,3,7.0,5.5,3.5,2,0
10/24/2024 18:21:30,1,0,5.5,7.5,5.5,3,7.0,3.0,4.5,1,5.5,1.5,5.5,2,1
10/24/2024 18:22:03,3,1,5.5,7.5,7.0,1,3.0,7.0,4.5,1,3.5,5.5,0.0,2,0
10/24/2024 18:22:22,1,1,7.0,8.5,7.0,1,3.0,3.0,0.3,1,1.5,1.5,1.5,0,1
10/24/2024 18:22:26,3,1,7.0,7.5,5.5,2,3.0,5.0,4.5,4,5.5,5.5,1.5,2,1
10/24/2024 18:22:51,3,1,7.0,7.5,5.5,3,3.0,7.0,4.5,2,5.5,3.5,5.5,2,0
10/24/2024 18:23:09,3,0,7.0,7.5,5.5,2,5.0,5.0,2.5,3,5.5,3.5,7.0,2,0
10/24/2024 18:23:51,3,1,5.5,6.5,3.5,3,3.0,5.0,7.0,2,5.5,5.5,5.5,1,2
10/24/2024 18:24:47,4,1,5.5,6.5,5.5,3,3.0,5.0,0.3,3,5.5,5.5,7.0,2,1
10/24/2024 18:25:43,4,1,7.0,8.5,5.5,3,5.0,3.0,7.0,2,5.5,5.5,5.5,2,0
10/24/2024 18:26:17,3,0,5.5,8.5,7.0,4,5.0,7.0,4.5,2,3.5,5.5,5.5,3,0
10/24/2024 18:26:44,4,0,5.5,7.5,7.0,4,5.0,5.0,7.0,1,1.5,1.5,3.5,0,1
10/24/2024 18:27:03,3,0,3.5,7.5,7.0,2,0.0,1.0,2.5,1,3.5,1.5,1.5,2,2
10/24/2024 18:27:21,4,0,1.5,8.5,5.5,4,1.0,1.0,0.3,2,3.5,3.5,5.5,2,1
10/24/2024 18:27:39,1,0,5.5,7.5,7.0,4,1.0,0.0,2.5,1,5.5,3.5,5.5,3,0
10/24/2024 18:27:57,3,1,5.5,7.5,3.5,4,7.0,3.0,2.5,2,5.5,5.5,3.5,2,0
10/24/2024 18:28:30,3,1,3.5,7.5,5.5,4,7.0,3.0,2.5,2,5.5,5.5,3.5,1,0
10/24/2024 18:28:49,4,0,1.5,7.5,7.0,4,3.0,5.0,7.0,3,5.5,5.5,7.0,1,1
10/24/2024 18:29:15,4,1,1.5,7.5,3.5,3,5.0,5.0,0.3,3,5.5,1.5,5.5,2,0
10/24/2024 18:29:45,3,0,5.5,8.5,5.5,2,5.0,3.0,7.0,3,3.5,7.0,3.5,2,1
10/24/2024 18:30:09,4,0,5.5,7.5,5.5,2,5.0,5.0,0.3,1,1.5,3.5,3.5,2,1
10/24/2024 18:30:32,3,0,3.5,6.5,5.5,4,1.0,3.0,2.5,1,3.5,3.5,3.5,1,0
10/24/2024 18:30:53,3,0,3.5,7.5,5.5,4,3.0,5.0,0.3,3,5.5,3.5,5.5,2,0
10/24/2024 18:31:12,4,1,3.5,8.5,7.0,1,1.0,3.0,4.5,2,7.0,1.5,1.5,3,1
10/24/2024 18:31:34,3,1,3.5,7.5,7.0,4,5.0,3.0,2.5,4,5.5,5.5,5.5,2,0
10/24/2024 18:31:52,4,1,5.5,7.5,3.5,3,7.0,1.0,0.3,4,3.5,3.5,5.5,2,1
10/24/2024 18:32:46,3,1,1.5,8.5,5.5,4,5.0,3.0,4.5,4,5.5,5.5,5.5,0,0
10/24/2024 18:34:23,4,1,3.5,8.5,5.5,2,1.0,1.0,4.5,2,3.5,3.5,3.5,2,3
10/24/2024 18:34:47,3,1,5.5,8.5,5.5,2,5.0,5.0,4.5,1,3.5,7.0,3.5,2,1
10/24/2024 19:29:15,3,0,7.0,8.5,7.0,4,3.0,5.0,7.0,2,7.0,5.5,5.5,2,1
